epoch,avg_steps,best_steps,avg_reward,best_reward,selected
1,48.8,59,45.117706485814494,56.83838939437964,True
5,71.2,136,65.50753314024655,122.01524361478391,True
10,128.6,195,116.75590724503338,180.86465585339423,True
15,184.6,236,167.93163236875375,219.72711580540505,True
20,137.4,160,122.86968165013597,151.7469389407627,False
25,249.6,315,217.49235276509026,272.47795522870985,True
30,411.2,500,387.11690255913146,464.6878995610863,True
35,493.6,656,450.7664019750162,608.0681116213204,True
40,884.0,1000,843.0269716842344,962.9229615554561,True
45,277.0,351,257.77283313550487,314.95895943680176,False
50,484.6,525,455.9640278762528,497.72785254163455,False
55,433.4,473,412.2487101818109,449.8535391374779,False
60,698.6,905,648.1632173815176,844.9578798787217,False
65,445.2,461,368.8886163807927,388.6058480177544,False
70,310.4,365,288.64058591060245,342.65321804856126,False
75,882.0,1000,836.6138067845413,964.9429628601946,False
80,884.2,1000,827.1082283160334,949.6630586724431,True
