smoothing,seed,episode,episode_seed,steps,reward,success,avg_height,min_height,avg_action_norm,avg_action_delta
0.0,42,1,43,937,828.1643610427877,0,-0.03296528854997261,-0.48656546888935176,0.5453817450140506,0.10108573295905088
0.0,42,2,44,1000,947.9932149954768,1,-0.023054772486356997,-0.0693702143003754,0.538898117487448,0.09775788132296395
0.0,1042,1,1043,811,720.3721695696817,0,-0.03348882755685173,-0.48156871133822393,0.5425689684550975,0.09943070101246312
0.0,1042,2,1044,1000,942.703674977288,1,-0.02307113823949428,-0.06809040494933358,0.5374382678272975,0.09740525537494009
0.0,2042,1,2043,1000,953.1121322860082,1,-0.022185949293048245,-0.06490964780216936,0.5361998643291936,0.09806151882473212
0.0,2042,2,2044,833,727.8167022018097,0,-0.034019116934962276,-0.4693744328182887,0.5480475045400036,0.10105883272448273
0.2,42,1,43,503,455.6040466775226,0,-0.04050160011109415,-0.482757341482663,0.5598787401796773,0.0981800998732823
0.2,42,2,44,185,161.70271732157022,0,-0.04553387206282935,-0.15629489861443993,0.5902705438562912,0.10790432295834652
0.2,1042,1,1043,411,387.77577725056074,0,-0.02705498366796529,-0.3301794623796684,0.5664175517546653,0.09960023162690335
0.2,1042,2,1044,183,154.64731489850905,0,-0.06592350366809592,-0.4785832702403206,0.5847840429047139,0.11159326300584191
0.2,2042,1,2043,190,150.84536389814528,0,-0.07987426037681931,-0.4756060088963113,0.594215392851622,0.11967813339700172
0.2,2042,2,2044,528,479.36979054325036,0,-0.037130519790775696,-0.4868278711861793,0.5632179581871704,0.10116630689451953
0.4,42,1,43,113,105.33012118677507,0,-0.046211222740850134,-0.2929927010815104,0.5435894276202157,0.09180119275600743
0.4,42,2,44,170,146.57033201865752,0,-0.06414478948567877,-0.47521147489671495,0.6321978238388363,0.12444065532113449
0.4,1042,1,1043,129,119.03443154137581,0,-0.03308478687986114,-0.2140579113815741,0.5874644593928902,0.09608248219353403
0.4,1042,2,1044,186,165.48439108128716,0,-0.05264233328846414,-0.47785015695899336,0.6047616928063506,0.11287071829087546
0.4,2042,1,2043,118,111.19973775641091,0,-0.04462453765523783,-0.29492432574436084,0.5785182464755522,0.09779665533724227
0.4,2042,2,2044,269,238.84892310736268,0,-0.04030946993255173,-0.1613323047681115,0.5696280288801956,0.09839600747350685
