episode,steps,reward,avg_height,min_height,avg_action_norm,avg_action_delta
1,1000,942.2985371313532,-0.02267897745536855,-0.06188038978937833,0.5442634752645106,0.09975615106201464
2,701,631.8243138399871,-0.0347686909155393,-0.462235089335319,0.5383584218794728,0.09942292103842379
3,1000,952.4923921071012,-0.023031277033871932,-0.06364612511544791,0.5391277271517847,0.09840540455987945
4,638,583.1080633815326,-0.035843297527365654,-0.4809436598675277,0.5355325852098837,0.10034130498698723
5,1000,947.4767684942855,-0.023134490680685,-0.0694403728395776,0.5399108394252917,0.09872291609737059
6,726,660.5216259986909,-0.035706839003579606,-0.4669313063655241,0.5413012037709891,0.10130999557192832
7,595,521.1226366268418,-0.04058242894170246,-0.4803327001028829,0.5427412108869164,0.10000747995375173
8,729,639.0162715631259,-0.03930646667783344,-0.47008836623629024,0.5422746145654648,0.10068053568923918
9,1000,946.7293580123722,-0.02243723177580024,-0.06940052261438004,0.5348651698143856,0.09768055911863249
10,814,736.1875504879497,-0.03440172846066421,-0.4610941748962168,0.5458033235033073,0.10183233224954474
